"year","mm"
1900,0
1901,-0.400000012800003
1902,4.199999982
1903,12.199999984
1904,1.8999999846
1905,-3.5999999882
1906,3.2000000008
1907,1.7999999814
1908,-0.699999997000003
1909,3.7999999946
1910,3.6999999914
1911,11.9999999776
1912,8.89999997999999
1913,10.6999999868
1914,16.9999999852
1915,24.8999999586
1916,22.999999974
1917,18.4999999824
1918,16.899999982
1919,18.4999999824
1920,19.7999999732
1921,21.8999999642
1922,20.9999999862
1923,22.1999999738
1924,14.8999999688
1925,16.899999982
1926,23.3999999614
1927,22.299999977
1928,18.3999999792
1929,19.7999999732
1930,23.7999999742
1931,23.3999999614
1932,29.099999966
1933,33.3999999512
1934,27.9999999562
1935,33.5999999576
1936,29.6999999598
1937,35.3999999644
1938,37.999999946
1939,43.19999996
1940,37.8999999682
1941,50.0999999522
1942,50.0999999522
1943,50.0999999522
1944,43.6999999506
1945,46.4999999386
1946,53.99999995
1947,57.0999999476
1948,61.8999999234
1949,60.5999999326
1950,62.7999999268
1951,72.299999926
1952,69.699999919
1953,74.0999999074
1954,71.1999999162
1955,72.0999999196
1956,66.9999999342
1957,80.3999999058
1958,81.7999998998
1959,82.0999999094
1960,85.7999999008
1961,91.999999896
1962,86.7999999074
1963,85.199999907
1964,77.2999999082
1965,88.499999911
1966,83.099999916
1967,84.49999991
1968,85.2999999102
1969,92.0999998992
1970,90.1999999146
1971,95.3999999032
1972,104.4999998896
1973,98.4999999008
1974,110.3999998752
1975,108.7999998748
1976,107.7999998936
1977,106.09999989
1978,112.4999998916
1979,107.5999998872
1980,113.599999876
1981,125.9999998664
1982,120.199999884
1983,128.5999998734
1984,127.69999987
1985,117.3999998706
1986,117.9999998644
1987,118.5999998836
1988,123.2999998816
1989,127.7999998732
1990,130.0999998706
1991,132.599999849
1992,133.2999998714
1993,131.4999998646
1994,136.6999998532
1995,139.5999998444
1996,143.6999998486
1997,150.699999844
1998,140.7999998574
1999,149.29999985
2000,150.5999998408
2001,156.099999839
2002,158.4999998396
2003,167.6999998292
2004,167.2999998164
2005,167.3999998196
2006,171.6999998302
2007,173.5999998148
2008,182.2999998138
2009,188.0999997962
2010,195.7999997886
2011,197.399999789
2012,206.1999997912
2013,197.7999998018
2014,197.1208809416
2015,205.8531725956
2016,209.2185684302
2017,210.4693769522
2018,212.9394225836
2019,219.397061459
2020,222.077894807
2021,226.8229573006
2022,229.058746987
2023,234.8802658494
