STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,GEO_PICT,Pacific Island Countries and territories,INDICATOR,Indicator,ELEVATION,Elevation,TIME_PERIOD,Time,OBS_VALUE,Observation value,UNIT_MEASURE,Unit of measure,UNIT_MULT,Unit multiplier,OBS_STATUS,Observation Status,DATA_SOURCE,Data source,OBS_COMMENT,Comment
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,MP,Northern Mariana Islands,LECZPOPRF,Population in low elevation coastal zone in relative frequency,5M,0-5 meters above sea level,2010,,3,,PERCENT,percent,,,,,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,MP,Northern Mariana Islands,LECZPOPRF,Population in low elevation coastal zone in relative frequency,5M,0-5 meters above sea level,2011,,3,,PERCENT,percent,,,,,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,MP,Northern Mariana Islands,LECZPOPRF,Population in low elevation coastal zone in relative frequency,5M,0-5 meters above sea level,2012,,3,,PERCENT,percent,,,,,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,MP,Northern Mariana Islands,LECZPOPRF,Population in low elevation coastal zone in relative frequency,5M,0-5 meters above sea level,2013,,3,,PERCENT,percent,,,,,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,MP,Northern Mariana Islands,LECZPOPRF,Population in low elevation coastal zone in relative frequency,5M,0-5 meters above sea level,2014,,3,,PERCENT,percent,,,,,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,MP,Northern Mariana Islands,LECZPOPRF,Population in low elevation coastal zone in relative frequency,5M,0-5 meters above sea level,2015,,3,,PERCENT,percent,,,,,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,MP,Northern Mariana Islands,LECZPOPRF,Population in low elevation coastal zone in relative frequency,5M,0-5 meters above sea level,2016,,3,,PERCENT,percent,,,,,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,MP,Northern Mariana Islands,LECZPOPRF,Population in low elevation coastal zone in relative frequency,5M,0-5 meters above sea level,2017,,3,,PERCENT,percent,,,,,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,MP,Northern Mariana Islands,LECZPOPRF,Population in low elevation coastal zone in relative frequency,5M,0-5 meters above sea level,2018,,3,,PERCENT,percent,,,,,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,MP,Northern Mariana Islands,LECZPOPRF,Population in low elevation coastal zone in relative frequency,5M,0-5 meters above sea level,2019,,3,,PERCENT,percent,,,,,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,MP,Northern Mariana Islands,LECZPOPRF,Population in low elevation coastal zone in relative frequency,5M,0-5 meters above sea level,2020,,3,,PERCENT,percent,,,,,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,MP,Northern Mariana Islands,LECZPOPRF,Population in low elevation coastal zone in relative frequency,5M,0-5 meters above sea level,2021,,3,,PERCENT,percent,,,,,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,MP,Northern Mariana Islands,LECZPOPRF,Population in low elevation coastal zone in relative frequency,5M,0-5 meters above sea level,2022,,3,,PERCENT,percent,,,,,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,MP,Northern Mariana Islands,LECZPOPRF,Population in low elevation coastal zone in relative frequency,5M,0-5 meters above sea level,2023,,3,,PERCENT,percent,,,,,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,MP,Northern Mariana Islands,LECZPOPRF,Population in low elevation coastal zone in relative frequency,5M,0-5 meters above sea level,2024,,3,,PERCENT,percent,,,,,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,SB,Solomon Islands,LECZPOPRF,Population in low elevation coastal zone in relative frequency,10M,0-10 meters above sea level,2010,,35,,PERCENT,percent,,,E,Estimated value,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,SB,Solomon Islands,LECZPOPRF,Population in low elevation coastal zone in relative frequency,10M,0-10 meters above sea level,2011,,35,,PERCENT,percent,,,E,Estimated value,,,This data was estimated based on population census of year 2023,
DATAFLOW,SPC:DF_POP_LECZ(1.0),Population living in low elevation coastal zones (0-10m and 0-20m above sea level),I,A,Annual,SB,Solomon Islands,LECZPOPRF,Population in low elevation coastal zone in relative frequency,10M,0-10 meters above sea level,2012,,35,,PERCENT,percent,,,E,Estimated value,,,This data was estimated based on population census of year 2023,
